station,train_no,destination,expected_arr,time_to_station,tfl_status,time
FBY,062,Edgware Road,2026-07-21T15:05:40Z,696,Good Service,2026-07-21 14:54:44.020907+00:00
WIP,062,Edgware Road,2026-07-21T14:54:27Z,2,Good Service,2026-07-21 14:55:05.332526+00:00
SFS,062,Edgware Road,2026-07-21T14:56:09Z,104,Good Service,2026-07-21 14:55:05.589549+00:00
EPY,062,Edgware Road,2026-07-21T14:59:09Z,284,Good Service,2026-07-21 14:55:05.702110+00:00
PYB,062,Edgware Road,2026-07-21T15:00:40Z,397,Good Service,2026-07-21 14:55:05.810940+00:00
PSG,062,Edgware Road,2026-07-21T15:03:40Z,576,Good Service,2026-07-21 14:55:05.954442+00:00
FBY,052,Edgware Road,2026-07-21T14:55:10Z,43,Good Service,2026-07-21 14:55:07.044335+00:00
FBY,062,Edgware Road,2026-07-21T15:05:40Z,673,Good Service,2026-07-21 14:55:07.047733+00:00
SFS,062,Edgware Road,2026-07-21T14:55:23Z,34,Good Service,2026-07-21 14:55:29.706535+00:00
SFS,076,Edgware Road,2026-07-21T14:59:23Z,274,Good Service,2026-07-21 14:55:29.709772+00:00
EPY,062,Edgware Road,2026-07-21T14:59:09Z,284,Good Service,2026-07-21 14:55:29.813009+00:00
PYB,062,Edgware Road,2026-07-21T14:59:53Z,303,Good Service,2026-07-21 14:55:30.142678+00:00
PYB,076,Edgware Road,2026-07-21T15:03:54Z,544,Good Service,2026-07-21 14:55:30.148056+00:00
PSG,062,Edgware Road,2026-07-21T15:02:54Z,484,Good Service,2026-07-21 14:55:30.254906+00:00
PSG,076,Edgware Road,2026-07-21T15:06:54Z,724,Good Service,2026-07-21 14:55:30.259580+00:00
FBY,052,Edgware Road,2026-07-21T14:55:10Z,66,Good Service,2026-07-21 14:55:30.352015+00:00
FBY,062,Edgware Road,2026-07-21T15:05:40Z,696,Good Service,2026-07-21 14:55:30.357240+00:00
WIP,062,Edgware Road,2026-07-21T14:54:27Z,2,Good Service,2026-07-21 14:55:51.745996+00:00
SFS,062,Edgware Road,2026-07-21T14:56:09Z,104,Good Service,2026-07-21 14:55:51.937152+00:00
EPY,062,Edgware Road,2026-07-21T14:58:24Z,192,Good Service,2026-07-21 14:55:52.140905+00:00
EPY,076,Edgware Road,2026-07-21T15:01:54Z,402,Good Service,2026-07-21 14:55:52.144821+00:00
PYB,062,Edgware Road,2026-07-21T14:59:53Z,281,Good Service,2026-07-21 14:55:52.573825+00:00
PYB,076,Edgware Road,2026-07-21T15:03:54Z,522,Good Service,2026-07-21 14:55:52.577742+00:00
PSG,062,Edgware Road,2026-07-21T15:02:54Z,484,Good Service,2026-07-21 14:55:52.687615+00:00
PSG,076,Edgware Road,2026-07-21T15:06:54Z,724,Good Service,2026-07-21 14:55:52.692731+00:00
FBY,052,Edgware Road,2026-07-21T14:55:10Z,43,Good Service,2026-07-21 14:55:52.810593+00:00
FBY,062,Edgware Road,2026-07-21T15:05:40Z,673,Good Service,2026-07-21 14:55:52.813943+00:00
WIP,076,Edgware Road,2026-07-21T14:57:24Z,109,Good Service,2026-07-21 14:56:15.133320+00:00
SFS,076,Edgware Road,2026-07-21T14:59:23Z,228,Good Service,2026-07-21 14:56:15.255301+00:00
EPY,062,Edgware Road,2026-07-21T14:58:24Z,192,Good Service,2026-07-21 14:56:15.375246+00:00
