station,train_no,destination,expected_arr,time_to_station,tfl_status,time
WIP,063,Wimbledon,2026-07-21T14:55:05Z,196,Good Service,2026-07-21 14:52:29.712457+00:00
WIP,070,Wimbledon,2026-07-21T14:58:35Z,406,Good Service,2026-07-21 14:52:29.717036+00:00
WIP,071,Wimbledon,2026-07-21T15:09:35Z,1066,Good Service,2026-07-21 14:52:29.720073+00:00
WIP,072,Wimbledon,2026-07-21T15:19:35Z,1666,Good Service,2026-07-21 14:52:29.723256+00:00
SFS,054,Wimbledon,2026-07-21T15:03:35Z,706,Good Service,2026-07-21 14:52:29.840186+00:00
SFS,063,Wimbledon,2026-07-21T14:54:05Z,136,Good Service,2026-07-21 14:52:29.843041+00:00
SFS,070,Wimbledon,2026-07-21T14:57:35Z,346,Good Service,2026-07-21 14:52:29.846856+00:00
SFS,071,Wimbledon,2026-07-21T15:08:36Z,1007,Good Service,2026-07-21 14:52:29.851019+00:00
SFS,072,Wimbledon,2026-07-21T15:17:36Z,1547,Good Service,2026-07-21 14:52:29.853959+00:00
EPY,054,Wimbledon,2026-07-21T15:01:36Z,586,Good Service,2026-07-21 14:52:29.970089+00:00
EPY,063,Wimbledon,2026-07-21T14:52:05Z,15,Good Service,2026-07-21 14:52:29.975841+00:00
EPY,070,Wimbledon,2026-07-21T14:56:06Z,256,Good Service,2026-07-21 14:52:29.981980+00:00
EPY,071,Wimbledon,2026-07-21T15:06:36Z,886,Good Service,2026-07-21 14:52:29.986674+00:00
EPY,072,Wimbledon,2026-07-21T15:16:36Z,1486,Good Service,2026-07-21 14:52:29.990652+00:00
PYB,054,Wimbledon,2026-07-21T14:59:36Z,466,Good Service,2026-07-21 14:52:30.101179+00:00
PYB,070,Wimbledon,2026-07-21T14:53:06Z,76,Good Service,2026-07-21 14:52:30.104244+00:00
PYB,071,Wimbledon,2026-07-21T15:03:36Z,706,Good Service,2026-07-21 14:52:30.107728+00:00
PYB,072,Wimbledon,2026-07-21T15:13:35Z,1305,Good Service,2026-07-21 14:52:30.114439+00:00
PSG,054,Wimbledon,2026-07-21T14:56:36Z,309,Good Service,2026-07-21 14:52:30.227410+00:00
PSG,071,Wimbledon,2026-07-21T15:01:36Z,609,Good Service,2026-07-21 14:52:30.231664+00:00
PSG,072,Wimbledon,2026-07-21T15:11:36Z,1209,Good Service,2026-07-21 14:52:30.234968+00:00
FBY,054,Wimbledon,2026-07-21T14:53:36Z,128,Good Service,2026-07-21 14:52:30.338781+00:00
FBY,071,Wimbledon,2026-07-21T14:58:36Z,428,Good Service,2026-07-21 14:52:30.345754+00:00
FBY,072,Wimbledon,2026-07-21T15:08:36Z,1028,Good Service,2026-07-21 14:52:30.349420+00:00
WIP,054,Wimbledon,2026-07-21T15:04:35Z,743,Good Service,2026-07-21 14:52:51.850673+00:00
WIP,063,Wimbledon,2026-07-21T14:55:05Z,173,Good Service,2026-07-21 14:52:51.854853+00:00
WIP,070,Wimbledon,2026-07-21T14:58:35Z,383,Good Service,2026-07-21 14:52:51.858915+00:00
WIP,071,Wimbledon,2026-07-21T15:09:35Z,1043,Good Service,2026-07-21 14:52:51.863140+00:00
WIP,072,Wimbledon,2026-07-21T15:19:35Z,1643,Good Service,2026-07-21 14:52:51.867048+00:00
SFS,054,Wimbledon,2026-07-21T15:03:35Z,706,Good Service,2026-07-21 14:52:51.976738+00:00
SFS,063,Wimbledon,2026-07-21T14:54:05Z,136,Good Service,2026-07-21 14:52:51.981038+00:00
SFS,070,Wimbledon,2026-07-21T14:57:35Z,346,Good Service,2026-07-21 14:52:51.985247+00:00
SFS,071,Wimbledon,2026-07-21T15:08:36Z,1007,Good Service,2026-07-21 14:52:51.987670+00:00
SFS,072,Wimbledon,2026-07-21T15:17:36Z,1547,Good Service,2026-07-21 14:52:51.992614+00:00
EPY,054,Wimbledon,2026-07-21T15:01:36Z,564,Good Service,2026-07-21 14:52:52.178214+00:00
EPY,070,Wimbledon,2026-07-21T14:56:06Z,234,Good Service,2026-07-21 14:52:52.183868+00:00
EPY,071,Wimbledon,2026-07-21T15:06:36Z,864,Good Service,2026-07-21 14:52:52.186708+00:00
EPY,072,Wimbledon,2026-07-21T15:16:36Z,1464,Good Service,2026-07-21 14:52:52.189646+00:00
PYB,054,Wimbledon,2026-07-21T14:59:36Z,466,Good Service,2026-07-21 14:52:52.292715+00:00
PYB,070,Wimbledon,2026-07-21T14:53:06Z,76,Good Service,2026-07-21 14:52:52.297162+00:00
PYB,071,Wimbledon,2026-07-21T15:03:36Z,706,Good Service,2026-07-21 14:52:52.300744+00:00
PYB,072,Wimbledon,2026-07-21T15:13:35Z,1305,Good Service,2026-07-21 14:52:52.304120+00:00
PSG,054,Wimbledon,2026-07-21T14:56:36Z,309,Good Service,2026-07-21 14:52:52.441529+00:00
PSG,071,Wimbledon,2026-07-21T15:01:36Z,609,Good Service,2026-07-21 14:52:52.446654+00:00
PSG,072,Wimbledon,2026-07-21T15:11:36Z,1209,Good Service,2026-07-21 14:52:52.451832+00:00
FBY,054,Wimbledon,2026-07-21T14:53:36Z,84,Good Service,2026-07-21 14:52:52.588041+00:00
FBY,071,Wimbledon,2026-07-21T14:58:36Z,384,Good Service,2026-07-21 14:52:52.594045+00:00
FBY,072,Wimbledon,2026-07-21T15:08:36Z,984,Good Service,2026-07-21 14:52:52.598368+00:00
WIP,054,Wimbledon,2026-07-21T15:04:35Z,721,Good Service,2026-07-21 14:53:14.865491+00:00
WIP,063,Wimbledon,2026-07-21T14:55:05Z,151,Good Service,2026-07-21 14:53:14.873287+00:00
WIP,070,Wimbledon,2026-07-21T14:58:35Z,361,Good Service,2026-07-21 14:53:14.882845+00:00
WIP,071,Wimbledon,2026-07-21T15:09:35Z,1021,Good Service,2026-07-21 14:53:14.888054+00:00
WIP,072,Wimbledon,2026-07-21T15:19:35Z,1621,Good Service,2026-07-21 14:53:14.894081+00:00
SFS,054,Wimbledon,2026-07-21T15:03:35Z,660,Good Service,2026-07-21 14:53:15.026028+00:00
SFS,063,Wimbledon,2026-07-21T14:54:05Z,90,Good Service,2026-07-21 14:53:15.031498+00:00
SFS,070,Wimbledon,2026-07-21T14:57:35Z,300,Good Service,2026-07-21 14:53:15.036247+00:00
SFS,071,Wimbledon,2026-07-21T15:08:36Z,961,Good Service,2026-07-21 14:53:15.041821+00:00
SFS,072,Wimbledon,2026-07-21T15:17:36Z,1501,Good Service,2026-07-21 14:53:15.046791+00:00
EPY,054,Wimbledon,2026-07-21T15:01:36Z,564,Good Service,2026-07-21 14:53:15.191737+00:00
EPY,070,Wimbledon,2026-07-21T14:56:06Z,234,Good Service,2026-07-21 14:53:15.197566+00:00
EPY,071,Wimbledon,2026-07-21T15:06:36Z,864,Good Service,2026-07-21 14:53:15.207026+00:00
EPY,072,Wimbledon,2026-07-21T15:16:36Z,1464,Good Service,2026-07-21 14:53:15.213290+00:00
PYB,054,Wimbledon,2026-07-21T14:59:36Z,421,Good Service,2026-07-21 14:53:15.378423+00:00
PYB,070,Wimbledon,2026-07-21T14:53:06Z,31,Good Service,2026-07-21 14:53:15.383014+00:00
PYB,071,Wimbledon,2026-07-21T15:03:36Z,661,Good Service,2026-07-21 14:53:15.387347+00:00
PYB,072,Wimbledon,2026-07-21T15:13:35Z,1260,Good Service,2026-07-21 14:53:15.391764+00:00
PSG,054,Wimbledon,2026-07-21T14:56:36Z,241,Good Service,2026-07-21 14:53:15.506737+00:00
PSG,071,Wimbledon,2026-07-21T15:01:36Z,541,Good Service,2026-07-21 14:53:15.510379+00:00
PSG,072,Wimbledon,2026-07-21T15:11:36Z,1141,Good Service,2026-07-21 14:53:15.514560+00:00
FBY,054,Wimbledon,2026-07-21T14:53:41Z,66,Good Service,2026-07-21 14:53:15.641598+00:00
FBY,071,Wimbledon,2026-07-21T14:58:41Z,366,Good Service,2026-07-21 14:53:15.645659+00:00
FBY,072,Wimbledon,2026-07-21T15:08:42Z,967,Good Service,2026-07-21 14:53:15.650725+00:00
WIP,054,Wimbledon,2026-07-21T15:04:35Z,721,Good Service,2026-07-21 14:53:38.377129+00:00
WIP,063,Wimbledon,2026-07-21T14:55:05Z,151,Good Service,2026-07-21 14:53:38.381836+00:00
WIP,070,Wimbledon,2026-07-21T14:58:35Z,361,Good Service,2026-07-21 14:53:38.386263+00:00
WIP,071,Wimbledon,2026-07-21T15:09:35Z,1021,Good Service,2026-07-21 14:53:38.393190+00:00
WIP,072,Wimbledon,2026-07-21T15:19:35Z,1621,Good Service,2026-07-21 14:53:38.398128+00:00
SFS,054,Wimbledon,2026-07-21T15:03:42Z,644,Good Service,2026-07-21 14:53:38.515587+00:00
